,stego_psnr,recovered_psnr,stego_ssim,recovered_ssim,stego_ks,recovered_ks,stego_p_val,recovered_p_val,stego_ws,recovered_ws
count,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
mean,40.88156624064842,50.78069502462273,0.9898449308914918,0.9927963137692667,0.026608910891089108,0.023089418316831683,0.9932064896662932,0.9826952908573942,165.91321163366337,30.497137995049506
std,8.764811288846301,5.679875785164893,0.015571596155380455,0.055067997926530735,0.008188470378876033,0.017027836257475178,0.028117500710608687,0.12351462046794955,251.5032626049876,63.934709726531835
min,13.367109571598078,12.459025029427451,0.9202892234065082,0.4593377171719328,0.01171875,0.01171875,0.8395833297450267,0.0010158184656758,25.7890625,18.796875
25%,37.73554114843173,50.57910407807063,0.9923801803930846,0.9995084373892206,0.0234375,0.01953125,0.9999816869283712,0.9999998150730912,56.875,21.6875
50%,45.166060847112455,51.58353870451532,0.9951324533448348,0.9995383648195538,0.02734375,0.01953125,0.9999816869283712,0.999999999921186,86.3125,22.578125
75%,47.524669484903576,52.59588788426676,0.9967806077210796,0.9995870426167924,0.02734375,0.0234375,0.9999998150730912,0.999999999921186,168.4765625,23.703125
max,48.00004057855379,55.85135685357401,0.9994423601550916,0.9997359367173831,0.0546875,0.171875,1.0,1.0,1849.578125,643.34375
