,stego_psnr,recovered_psnr,stego_ssim,recovered_ssim,stego_ks,recovered_ks,stego_p_val,recovered_p_val,stego_ws,recovered_ws
count,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
mean,40.88636085388426,7.170657163713785,0.9849650381779196,0.12642028297917243,0.04985303217821782,0.9921875,0.8081143733945501,5.5365606007456654e-148,248.49814356435644,8071.7109375
std,8.25297374375934,4.463041323674983e-15,0.026979016493682853,2.7894008272968644e-17,0.024169231854743112,0.0,0.281590296033744,0.0,380.5320972099689,0.0
min,13.004473358807518,7.170657163713781,0.8130365220783783,0.1264202829791724,0.015625,0.9921875,0.0166123739017553,5.536560600745663e-148,43.75,8071.7109375
25%,38.530711774085646,7.170657163713781,0.9916400406233636,0.1264202829791724,0.03125,0.9921875,0.7004202132651851,5.536560600745663e-148,99.375,8071.7109375
50%,45.19443007052489,7.170657163713781,0.9943842945849704,0.1264202829791724,0.04296875,0.9921875,0.9726060102257182,5.536560600745663e-148,141.296875,8071.7109375
75%,46.25112625178528,7.170657163713781,0.9958018507637456,0.1264202829791724,0.0625,0.9921875,0.9996558847418896,5.536560600745663e-148,236.0,8071.7109375
max,46.483985474128914,7.170657163713781,0.9994143189609324,0.1264202829791724,0.13671875,0.9921875,0.9999999999999996,5.536560600745663e-148,2725.0546875,8071.7109375
