,stego_psnr,recovered_psnr,stego_ssim,recovered_ssim,stego_ks,recovered_ks,stego_p_val,recovered_p_val,stego_ws,recovered_ws
count,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
mean,40.785236529381656,48.24543850580883,0.9880652814126425,0.960929901567718,0.02657023514851485,0.03658725247524752,0.994200292951138,0.9219713090394391,165.74187809405942,74.97052908415841
std,8.65610618439164,10.679729362856664,0.01799229404642031,0.1460668762842971,0.008043836690894292,0.06023919497849277,0.028367148297673225,0.26758337975924407,242.76637241057432,197.15981357695264
min,13.432324097139826,10.183384116428902,0.8960195328868819,0.2352703600066554,0.015625,0.01171875,0.772808336197572,9.265846868956001e-17,25.8359375,13.203125
25%,36.84549507823149,49.47976503755452,0.9909966963890068,0.9994537821740568,0.01953125,0.01953125,0.9996558847418896,0.9999998150730912,55.09375,20.8046875
50%,45.08740699709283,50.49473223370483,0.9938803612269966,0.9994960869785188,0.02734375,0.01953125,0.9999816869283712,0.999999999921186,87.140625,22.6015625
75%,47.36781031776186,51.99826174742326,0.99569814841006,0.9995875054862928,0.03125,0.0234375,0.999999999921186,0.999999999921186,159.640625,23.6953125
max,47.81897035262797,58.205817081112045,0.9991806080127066,0.9998013911676727,0.05859375,0.37890625,0.9999999999999996,1.0,1748.4375,1106.5234375
