method,stego_psnr,recovered_psnr,stego_ssim,recovered_ssim,stego_ks,recovered_ks,stego_p_val,recovered_p_val,stego_ws,recovered_ws
DWT -> QR,57.740373501492186,51.51091198439252,0.999506824714523,0.9995495761511556,0.015625,0.01953125,0.9999999999999996,0.999999999921186,31.1796875,22.7578125
FFT -> QR,70.12232255130004,51.127960974232906,0.9999673045945338,0.9993829309344902,0.01171875,0.01953125,0.9999999999999998,0.999999999921186,6.1875,23.046875
QR (both) -> DWT,57.24425797387392,50.86639212063119,0.9993440013275154,0.9994871622302112,0.01953125,0.01953125,0.999999999921186,0.999999999921186,32.53125,22.8046875
QR (both) -> FFT,57.24425797387392,39.38291931526752,0.9993440013275154,0.9991257735362984,0.01953125,0.01953125,0.999999999921186,0.999999999921186,32.53125,22.75
QR -> DWT,53.82640299966966,51.16275254456823,0.9988827343539032,0.9994089809071828,0.01953125,0.01953125,0.999999999921186,0.999999999921186,62.109375,22.4609375
QR -> FFT,51.21209882253745,51.15770226471851,0.9979109466610598,0.9993529175517356,0.01953125,0.01953125,0.999999999921186,0.999999999921186,74.6171875,22.9921875
QR Only,57.24425797387392,50.66096263763264,0.9993440013275154,0.9994992685094072,0.01953125,0.01953125,0.999999999921186,0.999999999921186,32.53125,22.328125
lsb ({}),51.142304840372354,7.170657163713781,0.995922518826402,0.1264202829791724,0.04296875,0.9921875,0.9726060102257182,5.536560600745663e-148,141.296875,8071.7109375
