,stego_psnr,recovered_psnr,stego_ssim,recovered_ssim,stego_ks,recovered_ks,stego_p_val,recovered_p_val,stego_ws,recovered_ws
count,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
mean,40.78511562339647,47.95504267300729,0.988064242450064,0.9515845155254661,0.02657023514851485,0.04231126237623763,0.9942002929511382,0.9126429038923148,165.72230816831683,91.90586324257426
std,8.655978143386372,11.147379047613857,0.0179971052685594,0.17334141873654002,0.008043836690894292,0.08106587706448516,0.028367148297673225,0.2811261008354106,242.76610169811025,255.8989319740687
min,13.432324097139826,8.731262926672303,0.8959249738821173,0.0093052040590171,0.015625,0.01171875,0.772808336197572,8.976723119561085e-39,25.8359375,20.2890625
25%,36.84549507823149,50.965687709581786,0.9909966963890068,0.99943589300791,0.01953125,0.01953125,0.9996558847418896,0.9999998150730912,55.09375,22.5390625
50%,45.08740699709283,51.340671218443525,0.9938803612269966,0.9994598398316618,0.02734375,0.0234375,0.9999816869283712,0.9999998150730912,87.140625,23.1875
75%,47.36781031776186,51.68668084080644,0.99569814841006,0.9994856158689616,0.03125,0.0234375,0.999999999921186,0.999999999921186,159.640625,24.1015625
max,47.81897035262797,52.75355780121296,0.9991806080127066,0.999527488446416,0.05859375,0.5703125,0.9999999999999996,1.0,1748.4765625,1621.5390625
