,stego_psnr,recovered_psnr,stego_ssim,recovered_ssim,stego_ks,recovered_ks,stego_p_val,recovered_p_val,stego_ws,recovered_ws
count,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
mean,42.82246377102536,49.14205103165435,0.9933605978551102,0.965905305157259,0.02374690594059406,0.03345451732673267,0.9990216635597506,0.9496584657658735,145.7070699257426,59.268487004950494
std,8.994423450831812,8.795159352612377,0.015420698919798427,0.1474339290868923,0.005652147173845915,0.06559805957804943,0.006369070221496853,0.21713692875920299,208.8041285245486,180.55232471871278
min,9.844839021545663,9.672730219368988,0.8914378382776104,0.121904075452637,0.01171875,0.015625,0.9418885636462128,6.908387534577277e-32,24.921875,20.3125
25%,39.811972916965786,50.90596389471461,0.9956369490797488,0.9993666675736907,0.01953125,0.01953125,0.9999816869283712,0.9999998150730912,51.34375,22.1953125
50%,47.96726178876985,51.21364838546744,0.9984275400506996,0.9993835823536732,0.0234375,0.01953125,0.9999998150730912,0.999999999921186,70.890625,22.9453125
75%,48.75526990860017,51.52174921289106,0.9989335048715732,0.9993997067731122,0.02734375,0.0234375,0.999999999921186,0.999999999921186,152.3671875,23.75
max,49.294983247291086,53.51392811984516,0.9998551279670496,0.9995202931956948,0.046875,0.51953125,1.0,0.9999999999999996,1402.3828125,1353.125
