,stego_psnr,recovered_psnr,stego_ssim,recovered_ssim,stego_ks,recovered_ks,stego_p_val,recovered_p_val,stego_ws,recovered_ws
count,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
mean,40.78511562339647,43.933455544830146,0.988064242450064,0.9486643424799059,0.02657023514851485,0.044129022277227724,0.9942002929511382,0.9120398392940682,165.72230816831683,96.64163056930693
std,8.655978143386372,10.699025526565228,0.0179971052685594,0.18178768443965077,0.008043836690894292,0.0859863933257764,0.028367148297673225,0.28278428847788223,242.76610169811025,267.67251876697367
min,13.432324097139826,8.74734414927074,0.8959249738821173,0.0096439604702792,0.015625,0.01171875,0.772808336197572,8.976723119561085e-39,25.8359375,20.9296875
25%,36.84549507823149,42.7750977070508,0.9909966963890068,0.9992222492946444,0.01953125,0.01953125,0.9996558847418896,0.9999816869283712,55.09375,22.46875
50%,45.08740699709283,47.39210543076865,0.9938803612269966,0.9994030579080548,0.02734375,0.01953125,0.9999816869283712,0.999999999921186,87.140625,23.203125
75%,47.36781031776186,50.43979724521733,0.99569814841006,0.999452924040966,0.03125,0.02734375,0.999999999921186,0.999999999921186,159.640625,24.2109375
max,47.81897035262797,52.02103598890871,0.9991806080127066,0.9995267117045854,0.05859375,0.5703125,0.9999999999999996,1.0,1748.4765625,1622.390625
