,stego_psnr,recovered_psnr,stego_ssim,recovered_ssim,stego_ks,recovered_ks,stego_p_val,recovered_p_val,stego_ws,recovered_ws
count,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
mean,42.822442622490236,49.12466290542161,0.9933606000124813,0.9651500585835148,0.023708230198019802,0.03364789603960396,0.9990218430463319,0.9448908378946538,145.7133353960396,59.80051051980198
std,8.994408925626226,8.87584357553161,0.015420681988236616,0.14871284922789688,0.0056406419273079145,0.06536399523340686,0.006369097801805833,0.22352498154802608,208.8190634279027,182.082664337658
min,9.844839021545663,9.61977689939788,0.8914378382776104,0.1156674061169422,0.01171875,0.01171875,0.9418885636462128,6.908387534577277e-32,24.921875,19.90625
25%,39.811972916965786,50.923033105090944,0.9956369490797488,0.9993666884532372,0.01953125,0.01953125,0.9999816869283712,0.9999998150730912,51.34375,21.875
50%,47.96726178876985,51.14206455877802,0.9984275400506996,0.9993789882197583,0.0234375,0.01953125,0.9999998150730912,0.999999999921186,70.890625,22.8046875
75%,48.75526990860017,51.58209895954249,0.9989335048715732,0.999410339960696,0.02734375,0.0234375,0.999999999921186,0.999999999921186,152.3671875,23.8359375
max,49.29385706320417,53.86143950988591,0.9998551279670496,0.9995706001538888,0.046875,0.51953125,1.0,1.0,1402.359375,1367.2578125
