,stego_psnr,recovered_psnr,stego_ssim,recovered_ssim,stego_ks,recovered_ks,stego_p_val,recovered_p_val,stego_ws,recovered_ws
count,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
mean,40.78511562339647,48.161936904008876,0.988064242450064,0.9595965016338323,0.02657023514851485,0.03654857673267327,0.9942002929511382,0.9215468664726217,165.72230816831683,77.69330136138613
std,8.655978143386372,10.526124457947423,0.0179971052685594,0.14884055686839265,0.008043836690894292,0.06366968017309871,0.028367148297673225,0.26889793248961996,242.76610169811025,202.15186696563606
min,13.432324097139826,10.177179793435286,0.8959249738821173,0.2350687452461732,0.015625,0.015625,0.772808336197572,8.168783185402709e-18,25.8359375,19.515625
25%,36.84549507823149,50.54428036350117,0.9909966963890068,0.9994146011062174,0.01953125,0.015625,0.9996558847418896,0.9999998150730912,55.09375,21.7890625
50%,45.08740699709283,51.114775699971126,0.9938803612269966,0.999443254305808,0.02734375,0.01953125,0.9999816869283712,0.999999999921186,87.140625,22.796875
75%,47.36781031776186,51.71510081519664,0.99569814841006,0.999469167708212,0.03125,0.0234375,0.999999999921186,0.9999999999999996,159.640625,23.90625
max,47.81897035262797,53.2965412845809,0.9991806080127066,0.9995594293499432,0.05859375,0.390625,0.9999999999999996,0.9999999999999996,1748.4765625,1107.6328125
