,stego_psnr,recovered_psnr,stego_ssim,recovered_ssim,stego_ks,recovered_ks,stego_p_val,recovered_p_val,stego_ws,recovered_ws
count,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
mean,37.82884407942364,51.29158546745105,0.9878048363293659,0.999412840465502,0.0450572400990099,0.020691522277227724,0.8132653040102504,0.9998430534285921,139.064588490099,22.683168316831683
std,7.8156993892081985,0.2376511594962181,0.02245531220068581,2.647862626206687e-05,0.03405642665733079,0.004988529153229814,0.3218981281901533,0.001047937966379497,246.17616353148,1.0500589846059905
min,13.059802558424424,51.19151857542904,0.8272181214418532,0.9993607523831776,0.01171875,0.01171875,0.0007154601818438,0.9900151940334372,25.765625,19.546875
25%,33.164741987774335,51.21437282734677,0.9917948224885588,0.9993995910172576,0.0234375,0.015625,0.7004202132651851,0.9999998150730912,45.1640625,21.9375
50%,39.60297817389338,51.22810952610308,0.9933318303084292,0.9994103276071966,0.02734375,0.01953125,0.9999816869283712,0.999999999921186,78.734375,22.7421875
75%,44.94714878503501,51.27613140837078,0.9951890674635028,0.9994220732546178,0.0625,0.0234375,0.9999998150730912,0.9999999999999996,125.875,23.4765625
max,45.0409203855471,53.42985944980537,0.9990518205942106,0.999496698749377,0.17578125,0.0390625,1.0,1.0,2167.671875,25.0078125
