,stego_psnr,recovered_psnr,stego_ssim,recovered_ssim,stego_ks,recovered_ks,stego_p_val,recovered_p_val,stego_ws,recovered_ws
count,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
mean,40.88419807831239,50.725509001793334,0.9898564297363319,0.9928500710508853,0.026647586633663366,0.02281868811881188,0.9932032639020706,0.9826864329234261,166.08586014851485,30.895730198019802
std,8.764614048675794,5.386466660973735,0.015525053262674199,0.05556683747829376,0.00820119098488412,0.0178215152733082,0.02811673433545369,0.12355510514162557,251.69560091631288,64.83774304288416
min,13.367109571598078,12.362978567646518,0.9202892234065082,0.4519299793657716,0.01171875,0.01171875,0.8395833297450267,0.0004998744979199,25.7890625,19.9765625
25%,37.73554114843173,51.15231733554871,0.9923801803930846,0.9994975599354068,0.0234375,0.015625,0.9999816869283712,0.9999998150730912,56.875,21.9375
50%,45.166060847112455,51.54305077552741,0.9951324533448348,0.999519371884831,0.02734375,0.01953125,0.9999816869283712,0.999999999921186,86.3125,23.03125
75%,47.524669484903576,51.90353956254587,0.9967806077210796,0.9995467654147528,0.02734375,0.0234375,0.9999998150730912,0.9999999999999996,168.4765625,23.9375
max,48.00004057855379,54.18246150402899,0.9994423601550916,0.9996264512148304,0.0546875,0.1796875,1.0,1.0,1849.609375,654.28125
