,stego_psnr,recovered_psnr,stego_ssim,recovered_ssim,stego_ks,recovered_ks,stego_p_val,recovered_p_val,stego_ws,recovered_ws
count,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
mean,37.828844118779806,51.3888183686152,0.9878048367029155,0.9994156930958078,0.0450572400990099,0.020652846534653466,0.8132653040102502,0.9998407287545136,139.06528465346534,22.646967821782177
std,7.81569943122427,0.353843185024464,0.02245531290165526,3.0292093483158515e-05,0.03405642665733078,0.004698445348326708,0.32189812819015334,0.0010481390933472802,246.17137069674266,1.0689942342868755
min,13.05980256100142,51.23655195835593,0.8272181167962861,0.999362034875902,0.01171875,0.01171875,0.0007154601818438,0.9900151940334372,25.7734375,19.5859375
25%,33.164741987774335,51.26211445253009,0.9917948270015045,0.9994010670137712,0.0234375,0.01953125,0.7004202132651851,0.9999998150730912,45.1640625,21.90625
50%,39.60297817389338,51.29528040732148,0.993331796679202,0.9994110725731372,0.02734375,0.01953125,0.9999816869283712,0.999999999921186,78.75,22.6875
75%,44.94714679519198,51.39666820555923,0.9951890657951804,0.9994244897915998,0.0625,0.0234375,0.9999998150730912,0.999999999921186,125.875,23.3828125
max,45.0409203855471,54.49854140668801,0.9990518205942106,0.999572928986647,0.17578125,0.0390625,1.0,1.0,2167.625,25.6796875
