,stego_psnr,recovered_psnr,stego_ssim,recovered_ssim,stego_ks,recovered_ks,stego_p_val,recovered_p_val,stego_ws,recovered_ws
count,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
mean,40.785236529381656,47.79610459553897,0.9880652814126425,0.9515621560468416,0.02657023514851485,0.041808477722772276,0.994200292951138,0.9126555624291706,165.74187809405942,91.19701423267327
std,8.65610618439164,11.149668823982136,0.01799229404642031,0.174355259739448,0.008043836690894292,0.08224589580178225,0.028367148297673225,0.2810106596014964,242.76637241057432,256.9348472534606
min,13.432324097139826,8.781977320591597,0.8960195328868819,0.0124345698002534,0.015625,0.01171875,0.772808336197572,3.251029454111312e-38,25.8359375,19.4921875
25%,36.84549507823149,49.93379669369186,0.9909966963890068,0.9994529261281118,0.01953125,0.015625,0.9996558847418896,0.9999998150730912,55.09375,21.703125
50%,45.08740699709283,50.80557796229356,0.9938803612269966,0.9994777028420536,0.02734375,0.01953125,0.9999816869283712,0.999999999921186,87.140625,22.765625
75%,47.36781031776186,51.913146933025615,0.99569814841006,0.9995180674970884,0.03125,0.0234375,0.999999999921186,0.9999999999999996,159.640625,23.953125
max,47.81897035262797,54.22768135284451,0.9991806080127066,0.9996354363026708,0.05859375,0.56640625,0.9999999999999996,1.0,1748.4375,1610.453125
