,stego_psnr,recovered_psnr,stego_ssim,recovered_ssim,stego_ks,recovered_ks,stego_p_val,recovered_p_val,stego_ws,recovered_ws
count,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
mean,40.785236529381656,43.89099520150817,0.9880652814126425,0.948608319383936,0.02657023514851485,0.04308477722772277,0.994200292951138,0.9120610781082836,165.74187809405942,95.02235457920793
std,8.65610618439164,10.755682310165623,0.01799229404642031,0.18236790770494268,0.008043836690894292,0.08497948871738772,0.028367148297673225,0.28275358356295516,242.76637241057432,266.07376713637467
min,13.432324097139826,8.755881772356254,0.8960195328868819,0.0089046577950623,0.015625,0.01171875,0.772808336197572,8.976723119561085e-39,25.8359375,15.1015625
25%,36.84549507823149,43.1617876155931,0.9909966963890068,0.9992806373024504,0.01953125,0.01953125,0.9996558847418896,0.9999998150730912,55.09375,21.2734375
50%,45.08740699709283,47.02953245127454,0.9938803612269966,0.9994332603855696,0.02734375,0.01953125,0.9999816869283712,0.999999999921186,87.140625,22.5859375
75%,47.36781031776186,49.83334902802571,0.99569814841006,0.9994893585245908,0.03125,0.0234375,0.999999999921186,0.999999999921186,159.640625,23.921875
max,47.81897035262797,56.940908139536994,0.9991806080127066,0.9997719694507504,0.05859375,0.5703125,0.9999999999999996,1.0,1748.4375,1619.6875
