,stego_psnr,recovered_psnr,stego_ssim,recovered_ssim,stego_ks,recovered_ks,stego_p_val,recovered_p_val,stego_ws,recovered_ws
count,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
mean,37.643189931144654,51.2699273383304,0.9865665995231311,0.9993567415562179,0.04509591584158416,0.02103960396039604,0.8141549152385146,0.9999419000776716,190.40949876237624,22.850788985148515
std,7.670226141953275,0.1298791487609126,0.02292044630212492,6.128511524481231e-06,0.033867546821169325,0.004418391717903038,0.31999288197683967,0.00035025658227861174,354.71977793531704,1.2289405216884062
min,13.059770263590156,51.06260213574707,0.8269611715845449,0.9993498517077888,0.015625,0.015625,0.0007154601818438,0.9975131965823584,27.40625,19.375
25%,33.129744238234096,51.20788243220683,0.990341316837374,0.9993533186234936,0.0234375,0.01953125,0.7004202132651851,0.9999998150730912,57.0234375,22.0078125
50%,39.47590469336434,51.26665668945536,0.9922062168187076,0.999355801211188,0.03125,0.01953125,0.9996558847418896,0.999999999921186,92.734375,22.8671875
75%,44.51129791575781,51.31398836597171,0.9942031255607298,0.9993584825933982,0.0625,0.0234375,0.9999998150730912,0.999999999921186,184.6640625,23.671875
max,44.789980231303225,52.319157035216925,0.998948892884152,0.9994028499089216,0.17578125,0.03515625,0.9999999999999996,0.9999999999999996,3158.28125,25.96875
