,stego_psnr,recovered_psnr,stego_ssim,recovered_ssim,stego_ks,recovered_ks,stego_p_val,recovered_p_val,stego_ws,recovered_ws
count,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
mean,37.64322489105442,51.172229813420714,0.9865624711533684,0.9993550822487339,0.04552134900990099,0.02061417079207921,0.8138205101877805,0.9998708973484728,190.62507735148515,22.90632735148515
std,7.670282649386941,0.07280255732522689,0.022928367973528156,3.943544660934406e-06,0.03371361086030535,0.004625858103764465,0.3211554553385874,0.0010213694969121799,356.5944418815707,1.3969656600934586
min,13.059769965948968,51.02993263108809,0.8269688360324493,0.9993452813683992,0.015625,0.015625,0.0007154601818438,0.9900151940334372,26.7890625,18.171875
25%,33.129784437567025,51.12639214637783,0.9903402291689956,0.999352955687151,0.0234375,0.015625,0.7004202132651851,0.9999998150730912,57.125,22.0546875
50%,39.4755671117301,51.17590080301086,0.9922068248114334,0.9993547125937922,0.03125,0.01953125,0.9996558847418896,0.999999999921186,93.8203125,22.7578125
75%,44.51273622582941,51.21022997682629,0.994203329570311,0.9993564363620442,0.0625,0.0234375,0.9999998150730912,0.9999999999999996,182.9609375,23.703125
max,44.789607938041854,51.63496600161736,0.9989487017316376,0.9993708636962454,0.17578125,0.0390625,0.9999999999999996,0.9999999999999996,3178.3359375,27.2421875
