method,stego_psnr,recovered_psnr,stego_ssim,recovered_ssim,stego_ws,recovered_ws
dft_qr ({}),47.96726178876985,51.14206455877802,0.9984275400506996,0.9993789882197583,70.890625,22.8046875
dwt_qr ({}),45.166060847112455,51.54305077552741,0.9951324533448348,0.999519371884831,86.3125,23.03125
qr ({}),45.08740699709283,51.114775699971126,0.9938803612269966,0.999443254305808,87.140625,22.796875
qr_both_dft ({}),45.08740699709283,47.39210543076865,0.9938803612269966,0.9994030579080548,87.140625,23.203125
qr_both_dwt ({}),45.08740699709283,51.340671218443525,0.9938803612269966,0.9994598398316618,87.140625,23.1875
qr_dft ({}),39.4755671117301,51.17590080301086,0.9922068248114334,0.999354712   5937922,93.8203125,22.7578125
qr_dwt ({}),39.60297817389338,51.22810952610308,0.9933318303084292,0.9994103276071966,78.734375,22.7421875
